,company_name,company_address,company_brand,company_halal_status,company_info_url,state,category
0,CCM CHEMICALS SDN BHD,"PASIR GUDANG WORKS, PLO. 411, KAWASAN 4, JALAN PERAK SATU, PASIR GUDANG INDUSTRIAL ESTATE, 81700 PASIR GUDANG, JOHOR BHARU, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20210422-132851&type=C&ty=CO,01,BG
1,CORE PAX (M) SDN. BHD.,"PLO 204 JALAN TEMBAGA, PASIR GUDANG KAWASAN PERINDUSTRIAN PASIR GUDANG, 81700 PASIR GUDANG, JOHOR BAHRU Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20140305-234345&type=C&ty=CO,01,BG
2,DUBOIS-NATURAL ESTERS SDN. BHD,"NATURAL OLEOCHEMICALS SDN. BHD. PLO 428, JALAN BESI SATU, PASIR GUDANG INDUSTRIAL AREA, 81700 PASIR GUDANG, JOHOR. 81700 Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20061207-100120&type=C&ty=CO,01,BG
3,EVYAP SABUN MALAYSIA SDN BHD,"PLO 70, JALAN NIBONG 4, TANJUNG LANGSAT INDUSTRIAL COMPLEX, 81700 PASIR GUDANG, JOHOR. 81700 Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20140408-183158&type=C&ty=CO,01,BG
4,GAIA CARBON SDN BHD,"NO 7, JALAN HAJI SAAT BATU 14 3/4, SG.TIRAM ULU TIRAM, 81800 ULU TIRAM, JOHOR ",,,directory/slm_viewdetail.php?comp_code=COMP-20120830-084529&type=C&ty=CO,01,BG
5,HOVID BERHAD,"NO. 121,  JALAN TUNKU ABDUL RAHMAN (JALAN KUALA KANGSAR), 30010, IPOH, PERAK. 30010 IPOH Perak",,,directory/slm_viewdetail.php?comp_code=COMP-20050622-153926&type=C&ty=CO,01,BG
6,IFFCO (MALAYSIA) SDN BHD,"PLO 406 & 237, JALAN EMAS, 81700 PASIR GUDANG, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20070423-105628&type=C&ty=CO,01,BG
7,INDUSTRIAL FILTRATION SDN. BHD.,"NO 8, JALAN BISTARI 4, TAMAN INDUSTRI JAYA, 81300 SKUDAI, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20180607-143105&type=C&ty=CO,01,BG
8,KOMATSU OIL FILTERS MALAYSIA SDN BHD,"NO. 3, JALAN MUTIARA EMAS 5/2, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20171221-085018&type=C&ty=CO,01,BG
9,KURITA WATER (MALAYSIA) SDN. BHD.,"NO 89-B, JALAN I-PARK 1/10, KAWASAN PERINDUSTRIAN I-PARK, BANDAR INDAHPURA, 81000 JOHOR BAHRU, JOHOR.  Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20191206-093411&type=C&ty=CO,01,BG
10,LINDE MALAYSIA SDN. BHD.,"LEVEL 13, THE PINNACLE,  PERSIARAN LAGOON, BANDAR SUNWAY, PETALING JAYA, SELANGOR. 47500 Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20050722-174506&type=C&ty=CO,01,BG
11,NATURAL SOAPS SDN. BHD.,"PLO 502,  JALAN BESI SATU, 81700 PASIR GUDANG, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20061207-101330&type=C&ty=CO,01,BG
12,PACOAL INDUSTRY SDN BHD,"242-1B, JALAN HARUAN 5/6, OAKLAND COMMERCIAL CENTRE 2, 70300 SEREMBAN, NEGERI SEMBILAN  ",,,directory/slm_viewdetail.php?comp_code=COMP-20060810-154207&type=C&ty=CO,01,BG
13,PALSGAARD MALAYSIA SDN BHD,"NO 1, JALAN BIOTEKNOLOGI 2, KAWASAN PERINDUSTRIAN SILC, 79200 ISKANDAR PUTERI Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20130110-133526&type=C&ty=CO,01,BG
14,PREMIER BLEACHING EARTH SDN.BHD.,"PLO 228, JALAN PERAK, KAWASAN PERINDUSTRIAN PASIR GUDANG, 81700 PASIR GUDANG, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20080729-122307&type=C&ty=CO,01,BG
15,RIKEVITA (MALAYSIA) SDN BHD,"NO. 11,  JALAN BAYU, 81200 TAMPOI, JOHOR BAHRU, JOHOR. 81200 JOHOR BAHRU Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20050916-152516&type=C&ty=CO,01,BG
16,"ROKI TECHNO CO.,LTD.","6-20-12 MINAMI-OI, SHINAGAWA-KU, TOKYO, JAPAN. ",,,directory/slm_viewdetail.php?comp_code=COMP-20210111-163023&type=C&ty=CO,01,BG
17,SDP GLOBAL (MALAYSIA) SDN BHD,"PLO 179, JALAN RUMBIA 1,  KOMPLEKS PERINDUSTRIAN TANJUNG LANGSAT, 81700 PASIR GUDANG, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20180810-093539&type=C&ty=CO,01,BG
