,company_name,company_brand,company_halal_status,company_address,city,state,halal_expiry_date,company_info_url,category,subcategory,scraped_at,restaurant_name
0,A&W MALAYSIA SDN BHD,A&W,Halal,"LOT G06,G07,G08,G09,G10,G11,G12 DAN G13, Ground Floor, Batu Pahat Mall, Jalan Kluang  83000, Batu Pahat Johor",Kluang,Johor,15/11/2026,directory/slm_viewdetail.php?comp_code=COMP-20050613-180717&type=P,PE,PE,2024-12-30 11:13:42.974062,A&W BATU PAHAT MALL
1,A&W MALAYSIA SDN BHD,,Halal,"LOT NO R131, GIANT HYPERMARKET PLENTONG No.3, Jalan Masai Lama 81750, Johor Bharu Johor",Johor Bharu,Johor,15/07/2025,directory/slm_viewdetail.php?comp_code=COMP-20050613-180717&type=P,PE,PE,2024-12-30 11:13:42.974226,A&W GIANT PLENTONG
2,A&W MALAYSIA SDN BHD,A&W,Halal,"LOT LG-05, LG-06, LG-07, Lower Ground Floor, Kluang Mall Jalan Rambutan 86000, Kluang Johor",Kluang,Johor,15/11/2026,directory/slm_viewdetail.php?comp_code=COMP-20050613-180717&type=P,PE,PE,2024-12-30 11:13:42.974377,A&W KLUANG MALL
3,A&W MALAYSIA SDN BHD,,Halal,"NO. LOT LG045, LOWER GROUND FLOOR,  Mid Valley Southkey, Persiaran Southkey 1, Kota Southkey 80150, Johor Bharu Johor",Johor Bharu,Johor,15/07/2025,directory/slm_viewdetail.php?comp_code=COMP-20050613-180717&type=P,PE,PE,2024-12-30 11:13:42.974528,A&W MIDVALLEY SOUTHKEY 
4,A&W MALAYSIA SDN BHD,A&W,Halal,"NO 3F-25, PARADIGM MALL JOHOR BAHRU Jalan Skudai 81200, Johor Bharu Johor",Johor Bahru,Johor,15/11/2026,directory/slm_viewdetail.php?comp_code=COMP-20050613-180717&type=P,PE,PE,2024-12-30 11:13:42.974666,A&W PARADIGM MALL JB
5,A&W MALAYSIA SDN BHD,A&W,Halal,"NO 1&3, JALAN UTAMA 3/2, Pusat Komersial Sri Utama 85000, Segamat Johor",Segamat,Johor,15/11/2026,directory/slm_viewdetail.php?comp_code=COMP-20050613-180717&type=P,PE,PE,2024-12-30 11:13:42.974809,A&W SEGAMAT
6,A&W MALAYSIA SDN BHD,,Halal,"PTD 198644 JALAN SAGU 18, TAMAN DAYA, 81100, Johor Bharu Johor",Johor Bharu,Johor,15/07/2025,directory/slm_viewdetail.php?comp_code=COMP-20050613-180717&type=P,PE,PE,2024-12-30 11:13:42.974945,A&W TAMAN DAYA DT
7,AEON BIG  M SDN. BHD.   FORMELY KNOWN AS MAGNIFICIENT DIAGRAPH SDN. BHD.,,Halal,"LOT 1284, MUKIM KLUANG 86000, Kluang Johor",Kluang,Johor,31/03/2027,directory/slm_viewdetail.php?comp_code=COMP-20050527-144123&type=P,PE,PE,2024-12-30 11:13:42.975074,BAKERI - AEON BIG KLUANG 
8,AEON BIG  M SDN. BHD.   FORMELY KNOWN AS MAGNIFICIENT DIAGRAPH SDN. BHD.,,Halal,"LOT L3-033A SUTERA MALL TAMAN SUTERA UTAMA  SKUDAI 81300, Johor Bharu Johor",Skudai,Johor,31/03/2027,directory/slm_viewdetail.php?comp_code=COMP-20050527-144123&type=P,PE,PE,2024-12-30 11:13:42.975217,BAKERI - AEON BIG SUTERA UTAMA
9,AEON BIG  M SDN. BHD.   FORMELY KNOWN AS MAGNIFICIENT DIAGRAPH SDN. BHD.,,Halal,"LOT L3-033A SUTERA MALL TAMAN SUTERA UTAMA  SKUDAI 81300, Johor Bharu Johor",Skudai,Johor,31/03/2025,directory/slm_viewdetail.php?comp_code=COMP-20050527-144123&type=P,PE,PE,2024-12-30 11:13:42.975359,BAKERI - AEON BIG SUTERA UTAMA
10,AEON BIG  M SDN. BHD.   FORMELY KNOWN AS MAGNIFICIENT DIAGRAPH SDN. BHD.,,Halal,"NO 1B, JALAN PERSIARAN FLORA UTAMA, TAMAN FLORA UTAMA  83000, Batu Pahat Johor",Batu Pahat,Johor,31/03/2025,directory/slm_viewdetail.php?comp_code=COMP-20050527-144123&type=P,PE,PE,2024-12-30 11:13:42.975505,BAKERI - AEONBIG BATU PAHAT 
11,AEON BIG  M SDN. BHD.   FORMELY KNOWN AS MAGNIFICIENT DIAGRAPH SDN. BHD.,,Halal,"NO 1B, JALAN PERSIARAN FLORA UTAMA, TAMAN FLORA UTAMA  83000, Batu Pahat Johor",Batu Pahat,Johor,31/03/2027,directory/slm_viewdetail.php?comp_code=COMP-20050527-144123&type=P,PE,PE,2024-12-30 11:13:42.975670,BAKERI - AEONBIG BATU PAHAT 
12,AEON BIG  M SDN. BHD.   FORMELY KNOWN AS MAGNIFICIENT DIAGRAPH SDN. BHD.,,Halal,"LOT 1284, MUKIM KLUANG 86000, Kluang Johor",Kluang,Johor,31/03/2025,directory/slm_viewdetail.php?comp_code=COMP-20050527-144123&type=P,PE,PE,2024-12-30 11:13:42.975797,BAKERI - AEONBIG KLUANG 
13,AEON CO.  M BHD,,Halal,"JLN DATO' ONN 3, KAWASAN PERINDUSTRIAN TEBRAU 3,  81100, Johor Bharu Johor",Tebrau,Johor,15/11/2026,directory/slm_viewdetail.php?comp_code=COMP-20050713-155315&type=P,PE,PE,2024-12-30 11:13:42.975924,COCO CAFE - AEON BANDAR DATO ONN
14,AEON CO.  M BHD,,Halal,"PTD 106273, Persiaran Indahpura Utama, Bandar Indahpura, 81000,  Tiada Maklumat Daerah Johor",Dan Lain-lain (dll),Johor,15/04/2025,directory/slm_viewdetail.php?comp_code=COMP-20050713-155315&type=P,PE,PE,2024-12-30 11:13:42.976063,COCO CAFE - AEON KULAIJAYA
